"GEO_ID","NAME","B25001_001E","B25001_001M","B25001_001MA","B25001_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US01001","Autauga County, Alabama","23697","68","null","null",
"0500000US01003","Baldwin County, Alabama","116747","180","null","null",
"0500000US01005","Barbour County, Alabama","12057","119","null","null",
"0500000US01007","Bibb County, Alabama","9237","82","null","null",
"0500000US01009","Blount County, Alabama","24404","87","null","null",
"0500000US01011","Bullock County, Alabama","4591","60","null","null",
"0500000US01013","Butler County, Alabama","10119","57","null","null",
"0500000US01015","Calhoun County, Alabama","53722","190","null","null",
"0500000US01017","Chambers County, Alabama","16985","70","null","null",
"0500000US01019","Cherokee County, Alabama","16631","68","null","null",
"0500000US01021","Chilton County, Alabama","19897","60","null","null",
"0500000US01023","Choctaw County, Alabama","7410","42","null","null",
"0500000US01025","Clarke County, Alabama","12813","63","null","null",
"0500000US01027","Clay County, Alabama","6832","33","null","null",
"0500000US01029","Cleburne County, Alabama","6859","44","null","null",
"0500000US01031","Coffee County, Alabama","23313","95","null","null",
"0500000US01033","Colbert County, Alabama","26727","59","null","null",
"0500000US01035","Conecuh County, Alabama","7203","27","null","null",
"0500000US01037","Coosa County, Alabama","6615","48","null","null",
"0500000US01039","Covington County, Alabama","19073","133","null","null",
"0500000US01041","Crenshaw County, Alabama","6834","56","null","null",
"0500000US01043","Cullman County, Alabama","38056","112","null","null",
"0500000US01045","Dale County, Alabama","23151","111","null","null",
"0500000US01047","Dallas County, Alabama","20427","68","null","null",
"0500000US01049","DeKalb County, Alabama","31424","109","null","null",
"0500000US01051","Elmore County, Alabama","34332","226","null","null",
"0500000US01053","Escambia County, Alabama","16618","398","null","null",
"0500000US01055","Etowah County, Alabama","47805","111","null","null",
"0500000US01057","Fayette County, Alabama","8493","61","null","null",
"0500000US01059","Franklin County, Alabama","14082","41","null","null",
"0500000US01061","Geneva County, Alabama","12901","39","null","null",
"0500000US01063","Greene County, Alabama","5131","23","null","null",
"0500000US01065","Hale County, Alabama","7847","41","null","null",
"0500000US01067","Henry County, Alabama","9203","42","null","null",
"0500000US01069","Houston County, Alabama","47798","140","null","null",
"0500000US01071","Jackson County, Alabama","25135","83","null","null",
"0500000US01073","Jefferson County, Alabama","308825","362","null","null",
"0500000US01075","Lamar County, Alabama","7410","32","null","null",
"0500000US01077","Lauderdale County, Alabama","45272","166","null","null",
"0500000US01079","Lawrence County, Alabama","15333","78","null","null",
"0500000US01081","Lee County, Alabama","70256","204","null","null",
"0500000US01083","Limestone County, Alabama","36278","121","null","null",
"0500000US01085","Lowndes County, Alabama","5251","60","null","null",
"0500000US01087","Macon County, Alabama","10311","168","null","null",
"0500000US01089","Madison County, Alabama","164100","246","null","null",
"0500000US01091","Marengo County, Alabama","10377","54","null","null",
"0500000US01093","Marion County, Alabama","14754","83","null","null",
"0500000US01095","Marshall County, Alabama","40661","99","null","null",
"0500000US01097","Mobile County, Alabama","184321","348","null","null",
"0500000US01099","Monroe County, Alabama","11451","56","null","null",
"0500000US01101","Montgomery County, Alabama","105063","219","null","null",
"0500000US01103","Morgan County, Alabama","52248","130","null","null",
"0500000US01105","Perry County, Alabama","4759","73","null","null",
"0500000US01107","Pickens County, Alabama","9620","133","null","null",
"0500000US01109","Pike County, Alabama","16241","106","null","null",
"0500000US01111","Randolph County, Alabama","12147","60","null","null",
"0500000US01113","Russell County, Alabama","27912","90","null","null",
"0500000US01115","St. Clair County, Alabama","36982","97","null","null",
"0500000US01117","Shelby County, Alabama","88090","168","null","null",
"0500000US01119","Sumter County, Alabama","6917","93","null","null",
"0500000US01121","Talladega County, Alabama","38021","145","null","null",
"0500000US01123","Tallapoosa County, Alabama","22565","94","null","null",
"0500000US01125","Tuscaloosa County, Alabama","91719","232","null","null",
"0500000US01127","Walker County, Alabama","31238","110","null","null",
"0500000US01129","Washington County, Alabama","8603","52","null","null",
"0500000US01131","Wilcox County, Alabama","5804","50","null","null",
"0500000US01133","Winston County, Alabama","13700","66","null","null",
"0500000US02013","Aleutians East Borough, Alaska","1199","138","null","null",
"0500000US02016","Aleutians West Census Area, Alaska","2013","208","null","null",
"0500000US02020","Anchorage Municipality, Alaska","118293","212","null","null",
"0500000US02050","Bethel Census Area, Alaska","6029","126","null","null",
"0500000US02060","Bristol Bay Borough, Alaska","871","61","null","null",
"0500000US02063","Chugach Census Area, Alaska","3287","118","null","null",
"0500000US02066","Copper River Census Area, Alaska","2902","112","null","null",
"0500000US02068","Denali Borough, Alaska","1664","341","null","null",
"0500000US02070","Dillingham Census Area, Alaska","2462","76","null","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","44270","136","null","null",
"0500000US02100","Haines Borough, Alaska","1692","163","null","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1623","86","null","null",
"0500000US02110","Juneau City and Borough, Alaska","13792","74","null","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","31330","124","null","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6427","60","null","null",
"0500000US02150","Kodiak Island Borough, Alaska","5450","35","null","null",
"0500000US02158","Kusilvak Census Area, Alaska","2219","76","null","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","1431","143","null","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","42018","192","null","null",
"0500000US02180","Nome Census Area, Alaska","4092","114","null","null",
"0500000US02185","North Slope Borough, Alaska","2581","213","null","null",
"0500000US02188","Northwest Arctic Borough, Alaska","2742","65","null","null",
"0500000US02195","Petersburg Borough, Alaska","1800","103","null","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3450","46","null","null",
"0500000US02220","Sitka City and Borough, Alaska","4229","43","null","null",
"0500000US02230","Skagway Municipality, Alaska","644","82","null","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3911","44","null","null",
"0500000US02275","Wrangell City and Borough, Alaska","1451","106","null","null",
"0500000US02282","Yakutat City and Borough, Alaska","417","41","null","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4081","66","null","null",
"0500000US04001","Apache County, Arizona","32943","102","null","null",
"0500000US04003","Cochise County, Arizona","61380","300","null","null",
