disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1239,,,,,8225378.98,4219882.47,3961713.95,2023-11-05T00:00:00.000Z,,3887494,f0d59ad9f41151d6ce8bdea07931e244b1e2a59d,2023-11-05T03:42:32.355Z,2e196794-e56b-4f91-8320-8df35263f2b9
1257,,,,,33279674.22,9756691.41,23183628.92,2023-11-05T00:00:00.000Z,,18906913,6c871538faa6a1257f0772982fae9b5a87d3fe8b,2023-11-05T03:42:32.355Z,f326e2bb-85ff-4794-b107-3026cb27323b
1260,,,,,9863594,3896685.75,5833055.72,2023-11-05T00:00:00.000Z,,1875688,5c6a559bed39d4a1ca64e79946bc0a3dd425d632,2023-11-05T03:42:32.355Z,b86c3dab-cd20-4711-8572-227022021fad
1261,,,,,5735788.21,2349946.79,3385841.42,2023-11-05T00:00:00.000Z,,1096729,aae0fbdf31b11b8f5a21567718f6fa3112a5507b,2023-11-05T03:42:32.355Z,7f32a595-7b7b-4df2-8c65-ad768f0cefba
1262,,,,,15377362.84,4437805.23,10793815.08,2023-11-05T00:00:00.000Z,,1494499,26e6a98d77374f9806778a8f7f5a16b1f3e3f7df,2023-11-05T03:42:32.355Z,385660bc-8064-430c-acd6-2e251a21fdfb
1264,,,,,3033110.28,882780.99,2135164.26,2023-11-05T00:00:00.000Z,,915473,e9fb7205fd8d65a63b99b0bcf8d7ba25b0375433,2023-11-05T03:42:32.355Z,ceb5f049-54f2-46c8-b494-d64133b9310c
1265,,,,,6970269.48,2590192.47,4349918.09,2023-11-05T00:00:00.000Z,,1319820,9afd1d1f9f18be0e7061601bee85d7dbaab7c6d8,2023-11-05T03:42:32.355Z,ae8da868-e9c8-45d9-a8fb-4f8323242078
1266,,,,,7265330.4,4572203.46,2603875.52,2023-11-05T00:00:00.000Z,,3634575,c95a833bb3969643296497a14e7db165a0d73fb9,2023-11-05T03:42:32.355Z,10294931-b18f-4050-9858-cb764f4c6f30
1268,,,,,721979.29,43929.52,655398.71,2023-11-05T00:00:00.000Z,,120352,a0f631d6210f0c3fa03fca2b80c2126d92b1d9a4,2023-11-05T03:42:32.355Z,181bd105-e595-4ff6-a760-650cdf6a8a4b
1269,,,,,1737569.4,898066.5,810242.78,2023-11-05T00:00:00.000Z,,1037030,bb3f73b3ab5f8a1218e74c25ead2882500443869,2023-11-05T03:42:32.355Z,75c3344a-a767-484a-ba25-22f532d1b22b
1271,,,,,1868757.98,1691960.54,176797.44,2023-11-05T00:00:00.000Z,,495343,6c257b304b48c916a3b3c1e3a1c87ba48019a93c,2023-11-05T03:42:32.355Z,a92f178b-a32e-4361-8d39-1ef6d7372de4
1272,,,,,40588743.22,29892462.64,10342694.45,2023-11-05T00:00:00.000Z,,12665798,eabe9d4324a404fec4de0b35904d8ab5cc57f485,2023-11-05T03:42:32.355Z,bc1922c1-df24-4d5e-ae4f-1fcf4cc95bd4
1273,,,,,3144097.57,2597610.34,546487.23,2023-11-05T00:00:00.000Z,,1764725,dde02233fb047c3b7f23c4cc7d91feffe34e5d59,2023-11-05T03:42:32.355Z,32887c0c-d4ad-4867-b50c-bf1829ed0d40
1274,,,,,1525086.7,1060865.15,587622.94,2023-11-05T00:00:00.000Z,,778869,84f51e2b643e18fea1715a6c5b96033e9e2d4bc7,2023-11-05T03:42:32.355Z,73399d50-9c7d-4c4e-a77f-57505123bcc6
1275,,,,,5322523.58,2426827.39,2821849.55,2023-11-05T00:00:00.000Z,,853245,28e1366db04fe918891088bb0522e9fc743ac43d,2023-11-05T03:42:32.355Z,f8c0d19d-92ee-4981-a03b-604223938e5a
1276,,,,,5242416.68,546984.2,4587872.59,2023-11-05T00:00:00.000Z,,1158596,85ac23ee22ab2ea25af87a05c5788ae516874749,2023-11-05T03:42:32.355Z,c117f224-5a6f-4f33-8b23-60b77067086e
1277,,,,,8534710.43,1862546.18,6422742.96,2023-11-05T00:00:00.000Z,,2449736,ffd8301835d69240bb376ffd730da84b95213b04,2023-11-05T03:42:32.355Z,aa49d2b7-943d-4c26-a85b-32fff361b100
1278,,,,,501235.42,20563.57,469397.28,2023-11-05T00:00:00.000Z,,113954,14e2ad69e6de99d82c5952b96d0a324fca63628d,2023-11-05T03:42:32.355Z,1b22b994-961e-4d3b-8118-774cf68b685a
1279,,,,,48334834.63,3905669.96,43752362,2023-11-05T00:00:00.000Z,,11742244,012053da4c96659956d4318ab0b44986c3e369d9,2023-11-05T03:42:32.355Z,703e43bd-b5d9-4eda-8799-ad469d13ca94
1280,,,,,801099.77,621063.41,162372.31,2023-11-05T00:00:00.000Z,,1152684,800cf57b0ad449031505f760a00991bd98454fc3,2023-11-05T03:42:32.355Z,82971eac-c82a-47d0-b497-4b96f946a209
1281,,,,,4736115,429615.84,4190877.14,2023-11-05T00:00:00.000Z,,704930,6af10a2d96342e2dcafc3ced9cf26453f0e0984b,2023-11-05T03:42:32.355Z,c02f0743-8e33-4488-ad81-c251af6b255d
1282,,,,,10955690.74,1814403.47,8883933.06,2023-11-05T00:00:00.000Z,,2636499,8aa735f53da8ddd5df689424685820bf36b3a707,2023-11-05T03:42:32.355Z,efaa3763-2ab9-424d-93ea-b7e6191a942e
1283,,,,,11679939.6,3332720.86,8260184.09,2023-11-05T00:00:00.000Z,,2769144,f862e9253f5873094df66994fc17cdd405e5853f,2023-11-05T03:42:32.355Z,85167fe3-c95a-4f50-9fa6-6f8a9b2bb986
1284,,,,,4064691.72,950005.26,3086906.66,2023-11-05T00:00:00.000Z,,641581,cb8b97537c39847a253c8f09681e4e36bef58bc7,2023-11-05T03:42:32.355Z,01cd786d-115f-4b2f-87d8-ccc5272c8bc0
1285,,,,,518798.92,331705.11,182722.6,2023-11-05T00:00:00.000Z,,86350,79b45e88f603bdc74053d30911954868a5c3bc35,2023-11-05T03:42:32.355Z,3176e935-c096-42b0-bae6-37761a48ec48
1286,,,,,2083481.55,147935.45,1935546.1,2023-11-05T00:00:00.000Z,,621569,66df1184bf0fc270dca659bb0e85912028a85832,2023-11-05T03:42:32.355Z,7a5a1210-232b-4210-ae61-31883580958b
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2023-11-05T00:00:00.000Z,,3182052,435559001ea28148400027d4685c5d1e37228b0a,2023-11-05T03:42:32.355Z,96a7843f-9d17-4b6c-8a70-a8daa8419797
1288,,,,,7734889.99,727111.27,6928401.83,2023-11-05T00:00:00.000Z,,1359545,0b0e8d8390c87c047d2415c6bdde792cc456de27,2023-11-05T03:42:32.355Z,5ad4ebf1-cbe9-4de1-87d1-b1119beb613d
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2023-11-05T00:00:00.000Z,,305977,de8444d15f6e6314cc1dc381c23c68f25df2245e,2023-11-05T03:42:32.355Z,f720203f-6880-4d48-8b4e-b56399cc6d02
1292,,,,,298105794.06,143602692.89,150485207.39,2023-11-05T00:00:00.000Z,,67665966,4a3e0d2a4be7c67a8a9835d5e929ab6df77ee4c2,2023-11-05T03:42:32.355Z,6038c73d-6747-43e9-970c-01489fa8df69
1293,,,,,19890308.77,8206956.08,11605641.68,2023-11-05T00:00:00.000Z,,4034816,210530cc7628daea4b928e28e3a947c975197726,2023-11-05T03:42:32.355Z,0ac514d4-e6a1-4635-b68b-43d55d9775c0
1294,,,,,10347269.34,4079425.04,5840828.95,2023-11-05T00:00:00.000Z,,4277685,ad65965c4c518abc5cd4ac860c0c8ebf2cb55b40,2023-11-05T03:42:32.355Z,d8d3edf1-7e51-4bb0-99b8-03341652e372
1295,,,,,38703382.74,17818465.28,20285139.28,2023-11-05T00:00:00.000Z,,9436261,84f138f6dd493d2d7deb4c48531d6a2244247e22,2023-11-05T03:42:32.355Z,2f1b45c2-33f2-4cf2-998b-05d059a35baa
1296,,,,,41182922.07,10759369.68,29436671.56,2023-11-05T00:00:00.000Z,,4413443,ad2d1e8fc204188ef5795c5fd9f99a75be38848e,2023-11-05T03:42:32.355Z,13b7f677-a791-470d-8287-f5a12acb0dd1
1297,,,,,3374929.57,413506.66,2970485.64,2023-11-05T00:00:00.000Z,,831368,e9d837b2b491a7644e07f0306bad1c6f182215d5,2023-11-05T03:42:32.355Z,eaba14ab-2eca-4183-ae80-cce57f7cee1f
1299,,,,,20544924.45,13046343.17,7178637.83,2023-11-05T00:00:00.000Z,,6074584,e64a11c9f6649d9e04fe04035a933c455af01cac,2023-11-05T03:42:32.355Z,9c4ebd33-e107-4a6f-b807-e62282a45ce7
1300,,,,,34309695.49,16704381.41,17070710.07,2023-11-05T00:00:00.000Z,,3599288,439094b3498e085a6639ffa5f93846c3efc982cf,2023-11-05T03:42:32.355Z,24c842d0-79a5-4015-bd11-c0ad92521e4b
1301,,,,,1968329.67,18254.17,1953360.86,2023-11-05T00:00:00.000Z,,7803,fb04648b3eb3dec83a361d82292f1a5bbed15df9,2023-11-05T03:42:32.355Z,cd6d0a63-8f43-46e5-a75b-240b2ad4b23e
1302,,,,,1875868.51,590763.4,1224126.36,2023-11-05T00:00:00.000Z,,107462,43730f889a73e478580e14101266a6e544e3c8c2,2023-11-05T03:42:32.355Z,300e13f0-4b3d-47e3-a0cf-312c3b7f933d
1303,,,,,5462529.93,1195275.68,4267254.25,2023-11-05T00:00:00.000Z,,1061424,db3e5f25ffb30b8cd876e2a5c3b017daec526521,2023-11-05T03:42:32.355Z,3300d99c-b42d-4973-9820-1d84dab6c987
1305,,,,,594693.82,73108.21,521585.61,2023-11-05T00:00:00.000Z,,11345,2fd86d95be30db17398e82a0ea607440db8939ed,2023-11-05T03:42:32.355Z,c85237ce-5d96-478f-9b7d-9a43069ace8f
1306,,,,,106261560.28,32644798.12,72246572.61,2023-11-05T00:00:00.000Z,,21423043,306e668d55d638f79c441fb8b4b43db6d2075974,2023-11-05T03:42:32.355Z,04e21246-f07b-4f8a-9ff4-d9337c254382
1307,,,,,1010652.61,397663.92,612988.69,2023-11-05T00:00:00.000Z,,111961,fd5c914bbb58bda5ee6ba8bf975bd811b75a4150,2023-11-05T03:42:32.355Z,a3dead2e-abe2-4e47-a51b-55f0794cae68
1308,,,,,920741.26,21376.49,880889.25,2023-11-05T00:00:00.000Z,,136145,d40acd175bbed80bc08827e8b6c51ad674048a08,2023-11-05T03:42:32.355Z,ade4b2e7-f03b-4126-bbcc-6a8be290331e
1309,,,,,4844695.58,1257343.05,1891051.87,2023-11-05T00:00:00.000Z,,1847365,5f01a2eb1279dc700ab7803e0621c79dcb2a9d87,2023-11-05T03:42:32.355Z,82dc60e3-0202-4159-a020-3cabc7869fd9
1310,,,,,4680340.29,1386231.25,3245139.39,2023-11-05T00:00:00.000Z,,250405,3a61050a70bf72fedf2196a5cb1207f830617e6f,2023-11-05T03:42:32.355Z,88783b95-fd70-412c-8b99-6314fbcdfa2e
1311,,,,,36909135.59,26066940.79,10849669.36,2023-11-05T00:00:00.000Z,,5289650,528f2cc588790ad7ece37b6ab1072a34731d80ad,2023-11-05T03:42:32.355Z,1679d7b0-fb29-480e-b481-60acc6d72d5a
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2023-11-05T00:00:00.000Z,,3453353,8a11793acfb9600bf57af2cd265f68aca22e6cc7,2023-11-05T03:42:32.355Z,bfcd4928-f027-44f0-838d-040604820eab
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1313,,,,,8726361.63,3164581.04,5580429.08,2023-11-05T00:00:00.000Z,,1311471,072268da5bf31207cb963fa0597ba13d00de5ccf,2023-11-05T03:42:32.355Z,c82c71e1-2f54-425b-8f98-400439b5c90f
1314,,,,,2605294.29,1170005.58,1430613.75,2023-11-05T00:00:00.000Z,,405517,631d0b1eb45184248c7119191a7d6a132ecb39a8,2023-11-05T03:42:32.355Z,7cbd65fe-b418-4d76-b5d4-bb109ce689ba
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1315,,,,,2043473.79,1256195.35,847752.31,2023-11-05T00:00:00.000Z,,662973,35bd22d133602fc0c2052f86dbb99816faac53e3,2023-11-05T03:42:32.355Z,2d33839b-91c6-4e01-891b-d5e919a54bb3
1316,,,,,10798817.35,6382892.52,4291133.67,2023-11-05T00:00:00.000Z,,1583458,2964fba83a160e01373af4d31bdbf0ce451a7dfd,2023-11-05T03:42:32.355Z,dff24919-c246-4033-bac4-c4df9980c76f
1317,,,,,3394920.15,1502165.83,1892754.32,2023-11-05T00:00:00.000Z,,438084,453f32fd0439bc0eb7253251a7e9edd36a7b4138,2023-11-05T03:42:32.355Z,7c17c576-bb59-4d7c-8dbf-e75a3970bf61
1318,,,,,13588960.08,13193223.02,451699.92,2023-11-05T00:00:00.000Z,,1454376,983c1771c307b4fbb89e39e4c708b7f851078db3,2023-11-05T03:42:32.355Z,76fe9dab-0f3d-4508-b21f-0670a10189fc
1319,,,,,5134082.94,329668.71,4780114.36,2023-11-05T00:00:00.000Z,,1289906,14b2028037e8f334a43801059053b4e5b95b1774,2023-11-05T03:42:32.355Z,5117801b-982d-4f2c-af9b-1d692d70cea7
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2023-11-05T00:00:00.000Z,,420140,5923d7a641da977cf510370114be6287ae2847b3,2023-11-05T03:42:32.355Z,09bb4d3c-ae17-4440-8a3e-2ddf472c6650
1323,,,,,3773011.29,2434987.46,1282012.04,2023-11-05T00:00:00.000Z,,556864,de139cbe29d92ff0c62cc26305b99d0f31380897,2023-11-05T03:42:32.355Z,f3c9a577-e688-4bba-a74d-b05187d859d5
1324,,,,,10907868.92,10902315.84,-40533.34,2023-11-05T00:00:00.000Z,,1613748,05382a5a0a4819695b0b3322df7708c80f485f43,2023-11-05T03:42:32.355Z,941fc7fc-a6d2-4fc1-999a-be9efc89eccb
1325,,,,,1354522.51,1343225.92,,2023-11-05T00:00:00.000Z,,98973,f85d89dc99fcfe7932e081774905d038592d238b,2023-11-05T03:42:32.355Z,9678ba84-529b-433c-9000-3a173fc899ca
